,ass,fuck,fucking,sucks,bit,ebay,fb,goo,google,instagr,tmblr,youtu,subjectivity,polarity
0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.675
1,0,0,0,0,0,0,0,0,0,0,0,0,0.7333333333333334,0.2333333333333333
2,0,0,0,0,0,0,1,0,0,0,0,0,0.6,0.625
3,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.375
4,0,0,0,0,0,0,0,0,0,0,0,0,0.95,-0.12499999999999989
5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.4666666666666666
6,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8
7,0,0,0,0,0,1,0,0,0,0,0,0,0.28181818181818186,0.07454545454545454
8,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
9,0,0,0,0,0,0,0,0,0,0,1,0,0.6,0.4
10,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.13636363636363635
11,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.15000000000000002
12,0,0,0,0,0,0,0,0,0,0,0,0,0.5705627705627706,-0.22272727272727275
13,0,0,0,0,0,0,0,0,0,1,0,0,0.6766666666666665,0.08333333333333334
14,0,0,0,0,0,0,0,0,0,0,0,0,0.65,-0.5625
15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
17,0,0,0,0,0,0,0,0,0,0,0,0,0.9,-0.9375
18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,0,0,1,0,0,0,0,0,0,0,0,0,0.8,-1.0
20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21,0,0,0,0,0,0,0,0,0,1,0,0,0.05,-0.0625
22,0,0,0,0,0,0,0,0,0,0,0,0,0.22727272727272727,0.06818181818181818
23,0,0,1,0,0,0,0,0,0,0,0,0,0.6166666666666667,-0.3833333333333333
24,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.13636363636363635
25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
26,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
28,0,0,0,0,0,0,0,0,0,1,0,0,0.5618181818181818,0.22136363636363637
29,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.15
30,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.21818181818181817
31,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1
32,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.575
33,0,0,0,0,0,0,0,0,0,0,0,0,0.6886363636363637,0.5653409090909091
34,0,0,0,0,0,0,0,0,0,1,0,0,0.35,0.35
35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0
37,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.45
38,0,0,0,0,0,0,0,0,0,0,0,0,0.41424242424242425,-0.032727272727272695
39,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3
40,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2333333333333333
41,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.29727272727272724
42,0,0,0,0,0,0,0,0,0,0,0,0,0.6011363636363636,0.23011363636363635
43,0,0,0,0,0,0,0,0,0,1,0,0,0.75,0.5681818181818181
44,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
45,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666667,-0.08333333333333333
46,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
47,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0
48,0,0,0,0,0,0,1,0,0,0,0,0,0.6,0.5
49,0,0,0,0,0,0,0,0,0,0,0,0,0.46666666666666673,0.09999999999999999
50,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.2130681818181818
51,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.8
52,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5
53,0,0,0,0,0,0,0,0,0,0,0,0,0.6499999999999999,-0.125
54,0,0,0,0,0,0,0,0,0,0,0,0,0.8,-0.14999999999999997
55,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
56,0,0,0,0,0,0,0,0,0,0,0,0,0.43333333333333335,-0.16666666666666666
57,0,0,0,0,0,0,0,0,0,0,0,0,0.625,-0.00833333333333334
58,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
59,0,0,0,1,0,0,0,0,0,0,0,0,0.30833333333333335,-0.125
60,0,0,0,0,0,0,0,0,0,1,0,0,0.4625,0.225
61,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1
62,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.13636363636363635
63,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
64,0,0,0,0,0,0,0,0,0,0,0,0,0.7999999999999999,0.7000000000000001
65,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.3333333333333333
66,0,0,0,0,0,0,0,0,0,0,1,0,0.36666666666666664,-0.02916666666666666
67,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.40750000000000003
68,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.13636363636363635
70,0,0,0,0,0,0,0,0,0,0,0,0,0.30000000000000004,0.14999999999999997
71,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.4
72,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.13636363636363635
73,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.25
74,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.26
75,0,0,0,0,0,0,0,0,0,0,0,0,0.3833333333333333,0.10000000000000002
76,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.475
